order_id,customer_id,amount,currency,created_at,status
ORD-000001,CUST-0002,999.00,INR,2026-08-08T03:17:00+00:00,COMPLETED
ORD-000002,CUST-0003,2499.00,INR,2026-08-15T06:34:00+00:00,COMPLETED
ORD-000003,CUST-0004,999.00,INR,2026-08-22T09:51:00+00:00,COMPLETED
ORD-000004,CUST-0005,499.00,INR,2026-08-04T12:08:00+00:00,COMPLETED
ORD-000005,CUST-0006,1999.00,INR,2026-08-11T15:25:00+00:00,COMPLETED
ORD-000006,CUST-0007,299.00,INR,2026-08-18T18:42:00+00:00,COMPLETED
ORD-000007,CUST-0008,14999.00,INR,2026-08-25T21:59:00+00:00,COMPLETED
ORD-000008,CUST-0009,2999.00,INR,2026-08-07T00:16:00+00:00,COMPLETED
ORD-000009,CUST-0010,14999.00,INR,2026-08-14T03:33:00+00:00,COMPLETED
ORD-000010,CUST-0011,1299.00,INR,2026-08-21T06:50:00+00:00,COMPLETED
ORD-000011,CUST-0012,999.00,INR,2026-08-03T09:07:00+00:00,COMPLETED
ORD-000012,CUST-0013,999.00,INR,2026-08-10T12:24:00+00:00,COMPLETED
ORD-000013,CUST-0014,2999.00,INR,2026-08-17T15:41:00+00:00,COMPLETED
ORD-000014,CUST-0015,999.00,INR,2026-08-24T18:58:00+00:00,COMPLETED
ORD-000015,CUST-0016,3499.00,INR,2026-08-06T21:15:00+00:00,COMPLETED
ORD-000016,CUST-0017,799.00,INR,2026-08-13T00:32:00+00:00,COMPLETED
ORD-000017,CUST-0018,3499.00,INR,2026-08-20T03:49:00+00:00,COMPLETED
ORD-000018,CUST-0019,999.00,INR,2026-08-02T06:06:00+00:00,COMPLETED
ORD-000019,CUST-0020,25000.00,INR,2026-08-09T09:23:00+00:00,COMPLETED
ORD-000020,CUST-0021,7500.00,INR,2026-08-16T12:40:00+00:00,COMPLETED
ORD-000021,CUST-0022,2999.00,INR,2026-08-23T15:57:00+00:00,COMPLETED
ORD-000022,CUST-0023,2499.00,INR,2026-08-05T18:14:00+00:00,COMPLETED
ORD-000023,CUST-0024,9999.00,INR,2026-08-12T21:31:00+00:00,COMPLETED
ORD-000024,CUST-0025,2499.00,INR,2026-08-19T00:48:00+00:00,COMPLETED
ORD-000025,CUST-0026,2499.00,INR,2026-08-01T03:05:00+00:00,COMPLETED
ORD-000026,CUST-0027,9999.00,INR,2026-08-08T06:22:00+00:00,COMPLETED
ORD-000027,CUST-0028,1999.00,INR,2026-08-15T09:39:00+00:00,COMPLETED
ORD-000028,CUST-0029,49999.00,INR,2026-08-22T12:56:00+00:00,COMPLETED
ORD-000029,CUST-0030,1299.00,INR,2026-08-04T15:13:00+00:00,COMPLETED
ORD-000030,CUST-0031,2499.00,INR,2026-08-11T18:30:00+00:00,COMPLETED
ORD-000031,CUST-0032,9999.00,INR,2026-08-18T21:47:00+00:00,COMPLETED
ORD-000032,CUST-0033,1299.00,INR,2026-08-25T00:04:00+00:00,COMPLETED
ORD-000033,CUST-0034,499.00,INR,2026-08-07T03:21:00+00:00,COMPLETED
ORD-000034,CUST-0035,1499.50,INR,2026-08-14T06:38:00+00:00,COMPLETED
ORD-000035,CUST-0036,9999.00,INR,2026-08-21T09:55:00+00:00,COMPLETED
ORD-000036,CUST-0037,2999.00,INR,2026-08-03T12:12:00+00:00,COMPLETED
ORD-000037,CUST-0038,2999.00,INR,2026-08-10T15:29:00+00:00,COMPLETED
ORD-000038,CUST-0039,3499.00,INR,2026-08-17T18:46:00+00:00,COMPLETED
ORD-000039,CUST-0040,25000.00,INR,2026-08-24T21:03:00+00:00,COMPLETED
ORD-000040,CUST-0041,1499.50,INR,2026-08-06T00:20:00+00:00,COMPLETED
ORD-000041,CUST-0042,1999.00,INR,2026-08-13T03:37:00+00:00,COMPLETED
ORD-000042,CUST-0043,1499.50,INR,2026-08-20T06:54:00+00:00,COMPLETED
ORD-000043,CUST-0044,49999.00,INR,2026-08-02T09:11:00+00:00,COMPLETED
ORD-000044,CUST-0045,7500.00,INR,2026-08-09T12:28:00+00:00,COMPLETED
ORD-000045,CUST-0046,499.00,INR,2026-08-16T15:45:00+00:00,COMPLETED
ORD-000046,CUST-0047,799.00,INR,2026-08-23T18:02:00+00:00,COMPLETED
ORD-000047,CUST-0048,1299.00,INR,2026-08-05T21:19:00+00:00,COMPLETED
ORD-000048,CUST-0049,1499.50,INR,2026-08-12T00:36:00+00:00,COMPLETED
ORD-000049,CUST-0050,14999.00,INR,2026-08-19T03:53:00+00:00,COMPLETED
ORD-000050,CUST-0051,1999.00,INR,2026-08-01T06:10:00+00:00,COMPLETED
ORD-000051,CUST-0052,7500.00,INR,2026-08-08T09:27:00+00:00,COMPLETED
ORD-000052,CUST-0053,25000.00,INR,2026-08-15T12:44:00+00:00,COMPLETED
ORD-000053,CUST-0054,2499.00,INR,2026-08-22T15:01:00+00:00,COMPLETED
ORD-000054,CUST-0055,299.00,INR,2026-08-04T18:18:00+00:00,COMPLETED
ORD-000055,CUST-0056,299.00,INR,2026-08-11T21:35:00+00:00,COMPLETED
ORD-000056,CUST-0057,2499.00,INR,2026-08-18T00:52:00+00:00,COMPLETED
ORD-000057,CUST-0058,4999.00,INR,2026-08-25T03:09:00+00:00,COMPLETED
ORD-000058,CUST-0059,2499.00,INR,2026-08-07T06:26:00+00:00,COMPLETED
ORD-000059,CUST-0060,1999.00,INR,2026-08-14T09:43:00+00:00,COMPLETED
ORD-000060,CUST-0061,2499.00,INR,2026-08-21T12:00:00+00:00,COMPLETED
ORD-000061,CUST-0062,1999.00,INR,2026-08-03T15:17:00+00:00,COMPLETED
ORD-000062,CUST-0063,14999.00,INR,2026-08-10T18:34:00+00:00,COMPLETED
ORD-000063,CUST-0064,14999.00,INR,2026-08-17T21:51:00+00:00,COMPLETED
ORD-000064,CUST-0065,999.00,INR,2026-08-24T00:08:00+00:00,COMPLETED
ORD-000065,CUST-0066,4999.00,INR,2026-08-06T03:25:00+00:00,COMPLETED
ORD-000066,CUST-0067,1999.00,INR,2026-08-13T06:42:00+00:00,COMPLETED
ORD-000067,CUST-0068,25000.00,INR,2026-08-20T09:59:00+00:00,COMPLETED
ORD-000068,CUST-0069,1499.50,INR,2026-08-02T12:16:00+00:00,COMPLETED
ORD-000069,CUST-0070,2499.00,INR,2026-08-09T15:33:00+00:00,COMPLETED
ORD-000070,CUST-0071,999.00,INR,2026-08-16T18:50:00+00:00,COMPLETED
ORD-000071,CUST-0072,299.00,INR,2026-08-23T21:07:00+00:00,COMPLETED
ORD-000072,CUST-0073,1499.50,INR,2026-08-05T00:24:00+00:00,COMPLETED
ORD-000073,CUST-0074,49999.00,INR,2026-08-12T03:41:00+00:00,COMPLETED
ORD-000074,CUST-0075,499.00,INR,2026-08-19T06:58:00+00:00,COMPLETED
ORD-000075,CUST-0076,299.00,INR,2026-08-01T09:15:00+00:00,COMPLETED
ORD-000076,CUST-0077,25000.00,INR,2026-08-08T12:32:00+00:00,COMPLETED
ORD-000077,CUST-0078,49999.00,INR,2026-08-15T15:49:00+00:00,COMPLETED
ORD-000078,CUST-0079,3499.00,INR,2026-08-22T18:06:00+00:00,COMPLETED
ORD-000079,CUST-0080,499.00,INR,2026-08-04T21:23:00+00:00,COMPLETED
ORD-000080,CUST-0081,499.00,INR,2026-08-11T00:40:00+00:00,COMPLETED
ORD-000081,CUST-0082,1499.50,INR,2026-08-18T03:57:00+00:00,COMPLETED
ORD-000082,CUST-0083,799.00,INR,2026-08-25T06:14:00+00:00,COMPLETED
ORD-000083,CUST-0084,799.00,INR,2026-08-07T09:31:00+00:00,COMPLETED
ORD-000084,CUST-0085,999.00,INR,2026-08-14T12:48:00+00:00,COMPLETED
ORD-000085,CUST-0086,799.00,INR,2026-08-21T15:05:00+00:00,COMPLETED
ORD-000086,CUST-0087,4999.00,INR,2026-08-03T18:22:00+00:00,COMPLETED
ORD-000087,CUST-0088,4999.00,INR,2026-08-10T21:39:00+00:00,COMPLETED
ORD-000088,CUST-0089,9999.00,INR,2026-08-17T00:56:00+00:00,COMPLETED
ORD-000089,CUST-0090,25000.00,INR,2026-08-24T03:13:00+00:00,COMPLETED
ORD-000090,CUST-0091,299.00,INR,2026-08-06T06:30:00+00:00,COMPLETED
ORD-000091,CUST-0092,799.00,INR,2026-08-13T09:47:00+00:00,COMPLETED
ORD-000092,CUST-0093,2999.00,INR,2026-08-20T12:04:00+00:00,COMPLETED
ORD-000093,CUST-0094,799.00,INR,2026-08-02T15:21:00+00:00,COMPLETED
ORD-000094,CUST-0095,3499.00,INR,2026-08-09T18:38:00+00:00,COMPLETED
ORD-000095,CUST-0096,3499.00,INR,2026-08-16T21:55:00+00:00,COMPLETED
ORD-000096,CUST-0097,3499.00,INR,2026-08-23T00:12:00+00:00,COMPLETED
ORD-000097,CUST-0098,2999.00,INR,2026-08-05T03:29:00+00:00,COMPLETED
ORD-000098,CUST-0099,1299.00,INR,2026-08-12T06:46:00+00:00,COMPLETED
ORD-000099,CUST-0100,1999.00,INR,2026-08-19T09:03:00+00:00,COMPLETED
ORD-000100,CUST-0101,2999.00,INR,2026-08-01T12:20:00+00:00,COMPLETED
ORD-000101,CUST-0102,499.00,INR,2026-08-08T15:37:00+00:00,COMPLETED
ORD-000102,CUST-0103,2999.00,INR,2026-08-15T18:54:00+00:00,COMPLETED
ORD-000103,CUST-0104,4999.00,INR,2026-08-22T21:11:00+00:00,COMPLETED
ORD-000104,CUST-0105,1499.50,INR,2026-08-04T00:28:00+00:00,COMPLETED
ORD-000105,CUST-0106,14999.00,INR,2026-08-11T03:45:00+00:00,COMPLETED
ORD-000106,CUST-0107,799.00,INR,2026-08-18T06:02:00+00:00,COMPLETED
ORD-000107,CUST-0108,499.00,INR,2026-08-25T09:19:00+00:00,COMPLETED
ORD-000108,CUST-0109,1299.00,INR,2026-08-07T12:36:00+00:00,COMPLETED
ORD-000109,CUST-0110,499.00,INR,2026-08-14T15:53:00+00:00,COMPLETED
ORD-000110,CUST-0111,499.00,INR,2026-08-21T18:10:00+00:00,COMPLETED
ORD-000111,CUST-0112,2499.00,INR,2026-08-03T21:27:00+00:00,COMPLETED
ORD-000112,CUST-0113,14999.00,INR,2026-08-10T00:44:00+00:00,COMPLETED
ORD-000113,CUST-0114,1499.50,INR,2026-08-17T03:01:00+00:00,COMPLETED
ORD-000114,CUST-0115,299.00,INR,2026-08-24T06:18:00+00:00,COMPLETED
ORD-000115,CUST-0116,14999.00,INR,2026-08-06T09:35:00+00:00,COMPLETED
ORD-000116,CUST-0117,1499.50,INR,2026-08-13T12:52:00+00:00,COMPLETED
ORD-000117,CUST-0118,499.00,INR,2026-08-20T15:09:00+00:00,COMPLETED
ORD-000118,CUST-0119,1999.00,INR,2026-08-02T18:26:00+00:00,COMPLETED
ORD-000119,CUST-0120,3499.00,INR,2026-08-09T21:43:00+00:00,COMPLETED
ORD-000120,CUST-0121,299.00,INR,2026-08-16T00:00:00+00:00,COMPLETED
ORD-000121,CUST-0122,4999.00,INR,2026-08-23T03:17:00+00:00,COMPLETED
ORD-000122,CUST-0123,2999.00,INR,2026-08-05T06:34:00+00:00,COMPLETED
ORD-000123,CUST-0124,9999.00,INR,2026-08-12T09:51:00+00:00,COMPLETED
ORD-000124,CUST-0125,999.00,INR,2026-08-19T12:08:00+00:00,COMPLETED
ORD-000125,CUST-0126,2999.00,INR,2026-08-01T15:25:00+00:00,COMPLETED
ORD-000126,CUST-0127,14999.00,INR,2026-08-08T18:42:00+00:00,COMPLETED
ORD-000127,CUST-0128,14999.00,INR,2026-08-15T21:59:00+00:00,COMPLETED
ORD-000128,CUST-0129,1999.00,INR,2026-08-22T00:16:00+00:00,COMPLETED
ORD-000129,CUST-0130,14999.00,INR,2026-08-04T03:33:00+00:00,COMPLETED
ORD-000130,CUST-0131,1999.00,INR,2026-08-11T06:50:00+00:00,COMPLETED
ORD-000131,CUST-0132,799.00,INR,2026-08-18T09:07:00+00:00,COMPLETED
ORD-000132,CUST-0133,999.00,INR,2026-08-25T12:24:00+00:00,COMPLETED
ORD-000133,CUST-0134,3499.00,INR,2026-08-07T15:41:00+00:00,COMPLETED
ORD-000134,CUST-0135,9999.00,INR,2026-08-14T18:58:00+00:00,COMPLETED
ORD-000135,CUST-0136,1299.00,INR,2026-08-21T21:15:00+00:00,COMPLETED
ORD-000136,CUST-0137,9999.00,INR,2026-08-03T00:32:00+00:00,COMPLETED
ORD-000137,CUST-0138,9999.00,INR,2026-08-10T03:49:00+00:00,COMPLETED
ORD-000138,CUST-0139,3499.00,INR,2026-08-17T06:06:00+00:00,COMPLETED
ORD-000139,CUST-0140,4999.00,INR,2026-08-24T09:23:00+00:00,COMPLETED
ORD-000140,CUST-0141,25000.00,INR,2026-08-06T12:40:00+00:00,COMPLETED
ORD-000141,CUST-0142,49999.00,INR,2026-08-13T15:57:00+00:00,COMPLETED
ORD-000142,CUST-0143,3499.00,INR,2026-08-20T18:14:00+00:00,COMPLETED
ORD-000143,CUST-0144,2499.00,INR,2026-08-02T21:31:00+00:00,COMPLETED
ORD-000144,CUST-0145,1999.00,INR,2026-08-09T00:48:00+00:00,COMPLETED
ORD-000145,CUST-0146,499.00,INR,2026-08-16T03:05:00+00:00,COMPLETED
ORD-000146,CUST-0147,799.00,INR,2026-08-23T06:22:00+00:00,COMPLETED
ORD-000147,CUST-0148,1999.00,INR,2026-08-05T09:39:00+00:00,COMPLETED
ORD-000148,CUST-0149,9999.00,INR,2026-08-12T12:56:00+00:00,COMPLETED
ORD-000149,CUST-0150,299.00,INR,2026-08-19T15:13:00+00:00,COMPLETED
ORD-000150,CUST-0001,2499.00,INR,2026-08-01T18:30:00+00:00,COMPLETED
ORD-000151,CUST-0002,25000.00,INR,2026-08-08T21:47:00+00:00,COMPLETED
ORD-000152,CUST-0003,2499.00,INR,2026-08-15T00:04:00+00:00,COMPLETED
ORD-000153,CUST-0004,1299.00,INR,2026-08-22T03:21:00+00:00,COMPLETED
ORD-000154,CUST-0005,4999.00,INR,2026-08-04T06:38:00+00:00,COMPLETED
ORD-000155,CUST-0006,14999.00,INR,2026-08-11T09:55:00+00:00,COMPLETED
ORD-000156,CUST-0007,49999.00,INR,2026-08-18T12:12:00+00:00,COMPLETED
ORD-000157,CUST-0008,2499.00,INR,2026-08-25T15:29:00+00:00,COMPLETED
ORD-000158,CUST-0009,49999.00,INR,2026-08-07T18:46:00+00:00,COMPLETED
ORD-000159,CUST-0010,25000.00,INR,2026-08-14T21:03:00+00:00,COMPLETED
ORD-000160,CUST-0011,2499.00,INR,2026-08-21T00:20:00+00:00,COMPLETED
ORD-000161,CUST-0012,4999.00,INR,2026-08-03T03:37:00+00:00,COMPLETED
ORD-000162,CUST-0013,1299.00,INR,2026-08-10T06:54:00+00:00,COMPLETED
ORD-000163,CUST-0014,1299.00,INR,2026-08-17T09:11:00+00:00,COMPLETED
ORD-000164,CUST-0015,14999.00,INR,2026-08-24T12:28:00+00:00,COMPLETED
ORD-000165,CUST-0016,25000.00,INR,2026-08-06T15:45:00+00:00,COMPLETED
ORD-000166,CUST-0017,1999.00,INR,2026-08-13T18:02:00+00:00,COMPLETED
ORD-000167,CUST-0018,299.00,INR,2026-08-20T21:19:00+00:00,COMPLETED
ORD-000168,CUST-0019,299.00,INR,2026-08-02T00:36:00+00:00,COMPLETED
ORD-000169,CUST-0020,9999.00,INR,2026-08-09T03:53:00+00:00,COMPLETED
ORD-000170,CUST-0021,2499.00,INR,2026-08-16T06:10:00+00:00,COMPLETED
ORD-000171,CUST-0022,2999.00,INR,2026-08-23T09:27:00+00:00,COMPLETED
ORD-000172,CUST-0023,299.00,INR,2026-08-05T12:44:00+00:00,COMPLETED
ORD-000173,CUST-0024,9999.00,INR,2026-08-12T15:01:00+00:00,COMPLETED
ORD-000174,CUST-0025,1299.00,INR,2026-08-19T18:18:00+00:00,COMPLETED
ORD-000175,CUST-0026,299.00,INR,2026-08-01T21:35:00+00:00,COMPLETED
ORD-000176,CUST-0027,1299.00,INR,2026-08-08T00:52:00+00:00,COMPLETED
ORD-000177,CUST-0028,499.00,INR,2026-08-15T03:09:00+00:00,COMPLETED
ORD-000178,CUST-0029,4999.00,INR,2026-08-22T06:26:00+00:00,COMPLETED
ORD-000179,CUST-0030,4999.00,INR,2026-08-04T09:43:00+00:00,COMPLETED
ORD-000180,CUST-0031,2999.00,INR,2026-08-11T12:00:00+00:00,COMPLETED
ORD-000181,CUST-0032,799.00,INR,2026-08-18T15:17:00+00:00,COMPLETED
ORD-000182,CUST-0033,499.00,INR,2026-08-25T18:34:00+00:00,COMPLETED
ORD-000183,CUST-0034,799.00,INR,2026-08-07T21:51:00+00:00,COMPLETED
ORD-000184,CUST-0035,2499.00,INR,2026-08-14T00:08:00+00:00,COMPLETED
ORD-000185,CUST-0036,1299.00,INR,2026-08-21T03:25:00+00:00,COMPLETED
ORD-000186,CUST-0037,49999.00,INR,2026-08-03T06:42:00+00:00,COMPLETED
ORD-000187,CUST-0038,25000.00,INR,2026-08-10T09:59:00+00:00,COMPLETED
ORD-000188,CUST-0039,1499.50,INR,2026-08-17T12:16:00+00:00,COMPLETED
ORD-000189,CUST-0040,3499.00,INR,2026-08-24T15:33:00+00:00,COMPLETED
ORD-000190,CUST-0041,3499.00,INR,2026-08-06T18:50:00+00:00,COMPLETED
ORD-000191,CUST-0042,1999.00,INR,2026-08-13T21:07:00+00:00,COMPLETED
ORD-000192,CUST-0043,999.00,INR,2026-08-20T00:24:00+00:00,COMPLETED
ORD-000193,CUST-0044,499.00,INR,2026-08-02T03:41:00+00:00,COMPLETED
ORD-000194,CUST-0045,14999.00,INR,2026-08-09T06:58:00+00:00,COMPLETED
ORD-000195,CUST-0046,4999.00,INR,2026-08-16T09:15:00+00:00,COMPLETED
