payment_id,order_id,amount,method,utr,created_at,status
PAY-000001,ORD-000001,999.00,UPI,UTR-IND-00000001,2026-08-08T03:23:00+00:00,SUCCESS
PAY-000002,ORD-000002,2499.00,CARD,UTR-IND-00000002,2026-08-15T06:38:00+00:00,SUCCESS
PAY-000003,ORD-000003,999.00,UPI,UTR-IND-00000003,2026-08-22T09:59:00+00:00,SUCCESS
PAY-000004,ORD-000004,499.00,UPI,UTR-IND-00000004,2026-08-04T12:11:00+00:00,SUCCESS
PAY-000005,ORD-000005,1999.00,CARD,UTR-IND-00000005,2026-08-11T15:35:00+00:00,SUCCESS
PAY-000006,ORD-000006,299.00,CARD,UTR-IND-00000006,2026-08-18T18:52:00+00:00,SUCCESS
PAY-000007,ORD-000007,14999.00,CARD,UTR-IND-00000007,2026-08-25T22:08:00+00:00,SUCCESS
PAY-000008,ORD-000008,2999.00,UPI,UTR-IND-00000008,2026-08-07T00:20:00+00:00,SUCCESS
PAY-000009,ORD-000009,14999.00,NETBANKING,UTR-IND-00000009,2026-08-14T03:39:00+00:00,SUCCESS
PAY-000010,ORD-000010,1299.00,CARD,UTR-IND-00000010,2026-08-21T06:57:00+00:00,SUCCESS
PAY-000011,ORD-000011,999.00,UPI,UTR-IND-00000011,2026-08-03T09:15:00+00:00,SUCCESS
PAY-000012,ORD-000012,999.00,NETBANKING,UTR-IND-00000012,2026-08-10T12:31:00+00:00,SUCCESS
PAY-000013,ORD-000013,2999.00,UPI,UTR-IND-00000013,2026-08-17T15:50:00+00:00,SUCCESS
PAY-000014,ORD-000014,999.00,WALLET,UTR-IND-00000014,2026-08-24T19:01:00+00:00,SUCCESS
PAY-000015,ORD-000015,3499.00,NETBANKING,UTR-IND-00000015,2026-08-06T21:20:00+00:00,SUCCESS
PAY-000016,ORD-000016,799.00,UPI,UTR-IND-00000016,2026-08-13T00:37:00+00:00,SUCCESS
PAY-000017,ORD-000017,3499.00,UPI,UTR-IND-00000017,2026-08-20T03:54:00+00:00,SUCCESS
