settlement_id,utr,amount,fees,settled_at
SET-000001,UTR-IND-00000001,979.02,19.98,2026-08-09T07:23:00+00:00
SET-000002,UTR-IND-00000002,2449.02,49.98,2026-08-16T10:38:00+00:00
SET-000003,UTR-IND-00000003,979.02,19.98,2026-08-23T13:59:00+00:00
SET-000004,UTR-IND-00000004,489.02,9.98,2026-08-05T16:11:00+00:00
SET-000005,UTR-IND-00000005,1959.02,39.98,2026-08-12T19:35:00+00:00
SET-000006,UTR-IND-00000006,293.02,5.98,2026-08-19T22:52:00+00:00
SET-000007,UTR-IND-00000007,14699.02,299.98,2026-08-27T02:08:00+00:00
SET-000008,UTR-IND-00000008,2939.02,59.98,2026-08-08T04:20:00+00:00
SET-000009,UTR-IND-00000009,14699.02,299.98,2026-08-15T07:39:00+00:00
SET-000010,UTR-IND-00000010,1273.02,25.98,2026-08-22T10:57:00+00:00
SET-000011,UTR-IND-00000011,979.02,19.98,2026-08-04T13:15:00+00:00
SET-000012,UTR-IND-00000012,979.02,19.98,2026-08-11T16:31:00+00:00
SET-000013,UTR-IND-00000013,2939.02,59.98,2026-08-18T19:50:00+00:00
SET-000014,UTR-IND-00000014,979.02,19.98,2026-08-25T23:01:00+00:00
SET-000015,UTR-IND-00000015,3429.02,69.98,2026-08-08T01:20:00+00:00
SET-000016,UTR-IND-00000016,783.02,15.98,2026-08-14T04:37:00+00:00
SET-000017,UTR-IND-00000017,3429.02,69.98,2026-08-21T07:54:00+00:00
SET-000018,UTR-IND-00000018,979.02,19.98,2026-08-03T10:12:00+00:00
SET-000019,UTR-IND-00000019,24500.00,500.00,2026-08-10T13:27:00+00:00
SET-000020,UTR-IND-00000020,7350.00,150.00,2026-08-17T16:45:00+00:00
SET-000021,UTR-IND-00000021,2939.02,59.98,2026-08-24T20:01:00+00:00
SET-000022,UTR-IND-00000022,2449.02,49.98,2026-08-06T22:23:00+00:00
SET-000023,UTR-IND-00000023,9799.02,199.98,2026-08-14T01:41:00+00:00
SET-000024,UTR-IND-00000024,2449.02,49.98,2026-08-20T04:50:00+00:00
SET-000025,UTR-IND-00000025,2449.02,49.98,2026-08-02T07:12:00+00:00
SET-000026,UTR-IND-00000026,9799.02,199.98,2026-08-09T10:25:00+00:00
SET-000027,UTR-IND-00000027,1959.02,39.98,2026-08-16T13:44:00+00:00
SET-000028,UTR-IND-00000028,48999.02,999.98,2026-08-23T17:05:00+00:00
SET-000029,UTR-IND-00000029,1273.02,25.98,2026-08-05T19:17:00+00:00
SET-000030,UTR-IND-00000030,2449.02,49.98,2026-08-12T22:38:00+00:00
SET-000031,UTR-IND-00000031,9799.02,199.98,2026-08-20T01:52:00+00:00
SET-000032,UTR-IND-00000032,1273.02,25.98,2026-08-26T04:07:00+00:00
SET-000033,UTR-IND-00000033,489.02,9.98,2026-08-08T07:25:00+00:00
SET-000034,UTR-IND-00000034,1469.51,29.99,2026-08-15T10:41:00+00:00
SET-000035,UTR-IND-00000035,9799.02,199.98,2026-08-22T14:04:00+00:00
SET-000036,UTR-IND-00000036,2939.02,59.98,2026-08-04T16:15:00+00:00
SET-000037,UTR-IND-00000037,2939.02,59.98,2026-08-11T19:32:00+00:00
SET-000038,UTR-IND-00000038,3429.02,69.98,2026-08-18T22:50:00+00:00
SET-000039,UTR-IND-00000039,24500.00,500.00,2026-08-26T01:09:00+00:00
SET-000040,UTR-IND-00000040,1469.51,29.99,2026-08-07T04:26:00+00:00
SET-000041,UTR-IND-00000041,1959.02,39.98,2026-08-14T07:44:00+00:00
SET-000042,UTR-IND-00000042,1469.51,29.99,2026-08-21T11:01:00+00:00
SET-000043,UTR-IND-00000043,48999.02,999.98,2026-08-03T13:14:00+00:00
SET-000044,UTR-IND-00000044,7350.00,150.00,2026-08-10T16:33:00+00:00
SET-000045,UTR-IND-00000045,489.02,9.98,2026-08-17T19:48:00+00:00
SET-000046,UTR-IND-00000046,783.02,15.98,2026-08-24T22:05:00+00:00
SET-000047,UTR-IND-00000047,1273.02,25.98,2026-08-07T01:28:00+00:00
SET-000048,UTR-IND-00000048,1469.51,29.99,2026-08-13T04:46:00+00:00
SET-000049,UTR-IND-00000049,14699.02,299.98,2026-08-20T08:03:00+00:00
